Autor des Briefes (Absender)	GND-ID, http://d-nb.info/gnd/	2. Autor des Briefes (Absender)	GND-ID, http://d-nb.info/gnd/	Fingierter Brieftitel	Absenderort	Gaz-ID AO	Wann der Brief verfasst wurde	Umfang des Briefes	Empfänger des Briefes	GND-ID, http://d-nb.info/gnd/	Weiterer Empfänger des Briefes	GND-ID, http://d-nb.info/gnd/	Weiterer Empfänger des Briefes	GND-ID, http://d-nb.info/gnd/	Empfängerort	ga-ID EO	Briefzusammenhang
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Eduard Gerhard.	Rom	2323295	1838-07-18	2 Seiten.	Gerhard, Eduard,	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Louise Braun.	Rom	2323295	1840	4 Seiten.	Braun, Louise	118717030					Rom	2323295	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Emil Braun.	Landkreis München		1842-12-12	2 Seiten.	Braun, Emil,	116415738					Venedig	2097525	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Abeken, Wilhelm	116001291			Brief von Wilhelm Abeken an Unbekannt.	Rom	2323295	1842-04-28	2 Seiten.	Unbekannt						Berlin	2282601	Gelehrtenbriefe - Gelehrtenbriefe von Wilhelm Abeken
Ackner, Johann Michael	118665723			Brief von Johann Michael Ackner an Wilhelm Henzen.	Hamersdorf		1850-12-06	4 Seiten.	Henzen, Wilhelm						Venedig	2097525	Gelehrtenbriefe - Gelehrtenbriefe von Johann Michael Ackner
Acerbi, Giuseppe				Brief von Giuseppe Acerbi an Carl von Bunsen.	Alexandria	2042806	1833-05-31	4 Seiten.	Bunsen, Carl von						Berlin	2282601	Gelehrtenbriefe - Gelehrtenbriefe von Giuseppe Acerbi
Acerbi, Giuseppe				Brief von Giuseppe Acerbi an Carl von Bunsen.	Alexandria	2042806	1833-03-26	4 Seiten.	Bunsen, Carl von						Venedig	2097525	Gelehrtenbriefe - Gelehrtenbriefe von Giuseppe Acerbi
Acerbi, Giuseppe				Brief von Giuseppe Acerbi an Unbekannt.	Venedig	2097525	1835-02-23	4 Seiten.	Unbekannt						Berlin	2282601	Gelehrtenbriefe - Gelehrtenbriefe von Giuseppe Acerbi
Ainsley, Samuel James,				Brief von Samuel James Ainsley an Emil Braun.	London		1843-11-06	4 Seiten.	Braun, Emil,	116415738					Paris	2081915	Gelehrtenbriefe - Gelehrtenbriefe von Samuel James Ainsley
Acquacotta, Placido				Brief von Placido Acquacotta an Heinrich von Brunn.	Rom	2323295	1852-07-19	4 Seiten.	Brunn, Enrico,	116777273					Venedig	2097525	Gelehrtenbriefe - Gelehrtenbriefe von Placido Acquacotta
